,sampleID,startTime,duration,sourceID
0,speaker041_0000,00:07:05.955687,1.878375,20H-20171219
1,speaker041_0001,00:06:00.047437,8.3210625,20H-20171219
2,speaker041_0002,00:23:16.761749,6.05975,20H-20171201
3,speaker041_0003,00:06:39.594875,1.5370625,20H-20171219
4,speaker041_0004,00:06:47.008375,1.942375,20H-20171219
5,speaker041_0005,00:06:49.003062,4.246375,20H-20171219
6,speaker041_0006,00:06:53.082687,2.6250625,20H-20171219
7,speaker041_0007,00:39:20.661562,10.47575,20H-20180206
8,speaker041_0008,00:06:00.047437,4.0330625,20H-20171219
9,speaker041_0009,00:06:00.047437,6.166375,20H-20171219
10,speaker041_0010,00:06:04.144562,2.09175,20H-20171219
11,speaker041_0011,00:06:04.144562,1.32375,20H-20171219
12,speaker041_0012,00:06:00.047437,5.398375,20H-20171219
13,speaker041_0013,00:06:06.240000,2.134375,20H-20171219
14,speaker041_0014,00:06:07.040750,1.3450625,20H-20171219
15,speaker041_0015,00:23:16.761749,1.4090625,20H-20171201
16,speaker041_0016,00:23:16.761749,2.198375,20H-20171201
17,speaker041_0017,00:23:16.761749,3.9690625,20H-20171201
18,speaker041_0018,00:06:26.696000,1.3450625,20H-20171219
19,speaker041_0019,00:06:26.696000,3.43575,20H-20171219
20,speaker041_0020,00:06:28.164750,1.96375,20H-20171219
21,speaker041_0021,00:06:25.624937,4.502375,20H-20171219
22,speaker041_0022,00:06:47.438687,1.5370625,20H-20171219
23,speaker041_0023,00:06:51.654687,1.6010625,20H-20171219
24,speaker041_0024,00:06:50.175374,3.094375,20H-20171219
25,speaker041_0025,00:06:49.003062,2.28375,20H-20171219
26,speaker041_0026,00:06:53.082687,1.70775,20H-20171219
27,speaker041_0027,00:06:53.841124,1.878375,20H-20171219
28,speaker041_0028,00:39:20.661562,6.05975,20H-20180206
29,speaker041_0029,00:39:20.661562,1.0250625,20H-20180206
30,speaker041_0030,00:39:20.661562,4.0970625,20H-20180206
31,speaker041_0031,00:06:58.360062,3.094375,20H-20171219
32,speaker041_0032,00:06:58.360062,9.4730625,20H-20171219
33,speaker041_0033,00:06:58.360062,5.0570625,20H-20171219
34,speaker041_0034,00:07:01.455187,1.96375,20H-20171219
35,speaker041_0035,00:07:01.455187,6.358375,20H-20171219
36,speaker041_0036,00:07:03.439000,4.374375,20H-20171219
37,speaker041_0037,00:07:03.439000,2.4970625,20H-20171219
38,speaker041_0038,00:07:03.439000,3.414375,20H-20171219
39,speaker041_0039,00:07:06.811624,1.00375,20H-20171219
40,speaker042_0000,00:07:31.671687,1.00375,20H-20180108
41,speaker042_0001,00:28:04.580312,1.06775,20H-20171219
42,speaker042_0002,00:28:06.949437,9.750375,20H-20171219
43,speaker042_0003,00:28:17.498125,7.2970625,20H-20171219
44,speaker042_0004,00:28:24.837250,13.22775,20H-20171219
45,speaker042_0005,00:28:37.897124,8.470375,20H-20171219
46,speaker042_0006,00:05:51.984624,1.750375,20H-20180108
47,speaker042_0007,00:05:53.524999,9.814375,20H-20180108
48,speaker042_0008,00:06:51.858312,3.62775,20H-20180108
49,speaker042_0009,00:06:57.565125,4.438375,20H-20180108
50,speaker042_0010,00:07:02.373249,5.078375,20H-20180108
51,speaker042_0011,00:07:07.349187,1.686375,20H-20180108
52,speaker042_0012,00:07:10.160937,13.93175,20H-20180108
53,speaker042_0013,00:07:23.987187,5.1850625,20H-20180108
54,speaker042_0014,00:07:29.855687,2.8170625,20H-20180108
55,speaker042_0015,00:28:06.949437,2.02775,20H-20171219
56,speaker042_0016,00:28:06.949437,7.1050625,20H-20171219
57,speaker042_0017,00:28:09.123687,4.9930625,20H-20171219
58,speaker042_0018,00:28:09.123687,7.59575,20H-20171219
59,speaker042_0019,00:28:09.123687,1.1530625,20H-20171219
60,speaker042_0020,00:28:10.034625,6.678375,20H-20171219
61,speaker042_0021,00:28:14.136187,2.582375,20H-20171219
62,speaker042_0022,00:28:14.883062,1.83575,20H-20171219
63,speaker042_0023,00:28:17.498125,1.83575,20H-20171219
64,speaker042_0024,00:28:17.498125,3.222375,20H-20171219
65,speaker042_0025,00:28:19.475937,1.25975,20H-20171219
66,speaker042_0026,00:28:19.481749,3.88375,20H-20171219
67,speaker042_0027,00:28:17.498125,5.846375,20H-20171219
68,speaker042_0028,00:28:20.924749,2.41175,20H-20171219
69,speaker042_0029,00:28:20.924749,3.88375,20H-20171219
70,speaker042_0030,00:28:23.283062,1.51575,20H-20171219
71,speaker042_0031,00:28:24.837250,1.51575,20H-20171219
72,speaker042_0032,00:28:24.837250,5.142375,20H-20171219
73,speaker042_0033,00:28:24.837250,3.37175,20H-20171219
74,speaker042_0034,00:28:24.837250,10.5610625,20H-20171219
75,speaker042_0035,00:28:30.080750,5.334375,20H-20171219
76,speaker042_0036,00:28:32.219312,5.846375,20H-20171219
77,speaker042_0037,00:28:35.581374,2.4970625,20H-20171219
78,speaker042_0038,00:28:37.897124,3.5850625,20H-20171219
79,speaker042_0039,00:28:40.021625,6.358375,20H-20171219
80,speaker042_0040,00:28:40.021625,1.5370625,20H-20171219
81,speaker042_0041,00:28:41.561812,4.822375,20H-20171219
82,speaker042_0042,00:28:44.113687,2.262375,20H-20171219
83,speaker042_0043,00:05:52.689812,1.046375,20H-20180108
84,speaker042_0044,00:05:53.525187,3.69175,20H-20180108
85,speaker042_0045,00:30:13.340500,4.77975,20H-20171210
86,speaker042_0046,00:05:59.610374,3.734375,20H-20180108
87,speaker042_0047,00:06:53.314062,2.1770625,20H-20180108
88,speaker042_0048,00:06:54.127625,1.2170625,20H-20180108
89,speaker042_0049,00:06:51.858312,2.3050625,20H-20180108
90,speaker042_0050,00:06:59.055562,2.966375,20H-20180108
91,speaker042_0051,00:07:00.141312,1.89975,20H-20180108
92,speaker042_0052,00:07:00.826187,1.19575,20H-20180108
93,speaker042_0053,00:07:02.373249,2.73175,20H-20180108
94,speaker042_0054,00:07:02.924562,2.198375,20H-20180108
95,speaker042_0055,00:07:02.924500,4.5450625,20H-20180108
96,speaker042_0056,00:07:05.069749,2.390375,20H-20180108
97,speaker042_0057,00:07:06.312875,1.1530625,20H-20180108
98,speaker042_0058,00:07:10.160937,2.66775,20H-20180108
99,speaker042_0059,00:07:10.160937,3.414375,20H-20180108
100,speaker042_0060,00:07:12.238375,1.366375,20H-20180108
101,speaker042_0061,00:07:12.238375,11.862375,20H-20180108
102,speaker042_0062,00:07:12.789812,3.158375,20H-20180108
103,speaker042_0063,00:07:12.789812,9.1530625,20H-20180108
104,speaker042_0064,00:07:15.757999,6.166375,20H-20180108
105,speaker042_0065,00:07:15.757999,8.342375,20H-20180108
106,speaker042_0066,00:07:21.903124,2.198375,20H-20180108
107,speaker042_0067,00:07:23.987187,2.28375,20H-20180108
108,speaker042_0068,00:07:26.339125,2.838375,20H-20180108
109,speaker042_0069,00:07:27.992250,1.19575,20H-20180108
110,speaker042_0070,00:07:30.317999,1.45175,20H-20180108
111,speaker042_0071,00:07:30.258624,2.4330625,20H-20180108
112,speaker042_0072,00:07:29.855687,1.878375,20H-20180108
113,speaker042_0073,00:38:19.733374,3.414375,20H-20180115
114,speaker042_0074,00:31:00.119875,3.3290625,20H-20171210
115,speaker042_0075,00:38:28.547875,2.8810625,20H-20180115
116,speaker042_0076,00:38:41.522312,2.6890625,20H-20180115
117,speaker042_0077,00:38:44.313250,7.53175,20H-20180115
118,speaker042_0078,00:38:51.831687,3.7770625,20H-20180115
119,speaker042_0079,00:38:55.551937,4.054375,20H-20180115
120,speaker042_0080,00:38:59.596125,4.8650625,20H-20180115
121,speaker042_0081,00:30:34.146937,2.3050625,20H-20180130
122,speaker042_0082,00:30:34.146937,4.01175,20H-20180130
123,speaker042_0083,00:30:36.476374,1.686375,20H-20180130
124,speaker042_0084,00:30:36.476374,4.9290625,20H-20180130
125,speaker042_0085,00:30:34.305125,7.08375,20H-20180130
126,speaker042_0086,00:30:38.082249,3.222375,20H-20180130
127,speaker042_0087,00:30:41.391312,7.6170625,20H-20180130
128,speaker042_0088,00:30:43.536624,5.462375,20H-20180130
129,speaker042_0089,00:30:47.531999,1.4730625,20H-20180130
130,speaker042_0090,00:30:47.531999,8.49175,20H-20180130
131,speaker042_0091,00:30:49.043312,6.9770625,20H-20180130
132,speaker042_0092,00:30:56.276562,5.3130625,20H-20180130
133,speaker042_0093,00:31:01.626250,5.7610625,20H-20180130
134,speaker042_0094,00:31:03.293374,4.0970625,20H-20180130
135,speaker042_0095,00:31:03.293374,6.358375,20H-20180130
136,speaker042_0096,00:31:07.288687,2.34775,20H-20180130
137,speaker042_0097,00:30:37.917124,9.4090625,20H-20171201
138,speaker042_0098,00:30:37.917124,3.7130625,20H-20171201
139,speaker042_0099,00:30:45.820625,9.70775,20H-20171201
140,speaker042_0100,00:30:55.567125,9.750375,20H-20171201
141,speaker042_0101,00:31:05.333000,8.726375,20H-20171201
142,speaker042_0102,00:31:14.625125,3.158375,20H-20171201
143,speaker042_0103,00:31:14.625125,10.390375,20H-20171201
144,speaker042_0104,00:31:17.592499,7.40375,20H-20171201
145,speaker042_0105,00:31:23.939374,1.06775,20H-20171201
146,speaker042_0106,00:31:23.939374,3.3290625,20H-20171201
147,speaker042_0107,00:42:20.178562,10.15575,20H-20171205
148,speaker042_0108,00:31:33.231312,5.974375,20H-20171201
149,speaker042_0109,00:27:28.877812,7.062375,20H-20171218
150,speaker042_0110,00:27:31.973687,3.9690625,20H-20171218
151,speaker042_0111,00:27:31.973687,5.7610625,20H-20171218
152,speaker042_0112,00:27:43.267812,5.09975,20H-20171218
153,speaker042_0113,00:27:49.991999,10.2410625,20H-20171218
154,speaker042_0114,00:27:54.544187,5.6970625,20H-20171218
155,speaker042_0115,00:27:54.517374,8.1290625,20H-20171218
156,speaker042_0116,00:27:57.436500,10.134375,20H-20171218
157,speaker042_0117,00:28:07.367999,8.8330625,20H-20171218
158,speaker042_0118,00:28:16.223312,5.9530625,20H-20171218
159,speaker043_0000,00:07:36.583500,1.00375,20H-20171220
160,speaker043_0001,00:07:21.103687,8.4490625,20H-20171220
161,speaker043_0002,00:07:29.424750,1.686375,20H-20171220
162,speaker043_0003,00:07:31.162249,6.422375,20H-20171220
163,speaker043_0004,00:07:21.103499,5.7610625,20H-20171220
164,speaker043_0005,00:07:24.296312,2.582375,20H-20171220
165,speaker043_0006,00:07:24.296249,5.270375,20H-20171220
166,speaker043_0007,00:07:26.799812,2.7530625,20H-20171220
167,speaker043_0008,00:07:26.799812,1.83575,20H-20171220
168,speaker043_0009,00:07:28.551625,1.00375,20H-20171220
169,speaker043_0010,00:07:31.162249,1.89975,20H-20171220
170,speaker043_0011,00:07:31.162187,3.158375,20H-20171220
171,speaker043_0012,00:07:31.162187,4.950375,20H-20171220
172,speaker043_0013,00:07:34.389374,1.7290625,20H-20171220
173,speaker043_0014,00:07:34.389374,3.2010625,20H-20171220
174,speaker044_0000,00:09:45.422187,1.2170625,20H-20171220
175,speaker044_0001,00:09:37.884625,1.00375,20H-20171220
176,speaker044_0002,00:09:38.761999,3.606375,20H-20171220
177,speaker044_0003,00:09:41.427187,5.206375,20H-20171220
178,speaker044_0004,00:26:40.722062,2.646375,20H-20180113
179,speaker044_0005,00:09:40.409750,1.96375,20H-20171220
180,speaker044_0006,00:09:41.327812,1.046375,20H-20171220
181,speaker044_0007,00:09:41.427187,2.15575,20H-20171220
182,speaker044_0008,00:09:43.612312,3.030375,20H-20171220
