,sampleID
0,speaker000_0072
1,speaker000_0613
2,speaker000_0816
3,speaker000_1132
4,speaker000_0276
5,speaker000_0387
6,speaker000_1210
7,speaker000_1083
8,speaker000_0552
9,speaker000_1241
10,speaker000_0957
11,speaker000_0954
12,speaker000_0404
13,speaker000_0184
14,speaker000_0222
15,speaker000_1521
16,speaker000_0749
17,speaker000_1403
18,speaker000_1321
19,speaker000_0731
20,speaker000_0206
21,speaker000_1145
22,speaker000_1105
23,speaker000_0006
24,speaker000_0048
25,speaker000_0026
26,speaker000_1138
27,speaker000_0153
28,speaker000_0073
29,speaker000_1350
30,speaker000_0219
31,speaker000_0275
32,speaker000_0123
33,speaker000_0598
34,speaker000_0523
35,speaker000_0443
36,speaker000_0004
37,speaker000_1281
38,speaker000_0417
39,speaker000_1262
40,speaker000_0327
41,speaker000_1433
42,speaker000_0566
43,speaker000_1339
44,speaker000_1066
45,speaker000_1483
46,speaker000_1151
47,speaker000_1007
48,speaker000_0624
49,speaker000_1360
50,speaker000_1026
51,speaker000_0612
52,speaker000_0655
53,speaker000_0158
54,speaker000_1148
55,speaker000_1335
56,speaker000_0149
57,speaker000_0791
58,speaker000_0700
59,speaker000_0251
60,speaker000_0906
61,speaker000_0284
62,speaker000_0156
63,speaker000_1245
64,speaker000_1159
65,speaker000_1347
66,speaker000_0596
67,speaker000_0425
68,speaker000_1373
69,speaker000_0753
70,speaker000_1065
71,speaker000_0088
72,speaker000_0280
73,speaker000_0762
74,speaker000_0455
75,speaker000_0563
76,speaker000_0308
77,speaker000_0143
78,speaker000_0703
79,speaker000_0331
80,speaker000_0450
81,speaker000_0202
82,speaker000_0131
83,speaker000_1059
84,speaker000_0923
85,speaker000_0353
86,speaker000_0974
87,speaker000_0209
88,speaker000_1068
89,speaker000_1294
90,speaker000_0148
91,speaker000_0233
92,speaker000_1336
93,speaker000_0111
94,speaker000_1136
95,speaker000_1368
96,speaker000_1116
97,speaker000_1072
98,speaker000_0546
99,speaker000_1187
100,speaker000_0424
101,speaker000_0864
102,speaker000_0286
103,speaker000_0391
104,speaker000_1286
105,speaker000_0351
106,speaker000_1078
107,speaker000_1271
108,speaker000_1173
109,speaker000_0964
110,speaker000_0116
111,speaker000_1054
112,speaker000_0187
113,speaker000_1399
114,speaker000_0249
115,speaker000_0872
116,speaker000_0054
117,speaker000_0582
118,speaker000_0384
119,speaker000_1216
120,speaker000_1401
121,speaker000_0375
122,speaker000_0807
123,speaker000_0307
124,speaker000_0667
125,speaker000_0270
126,speaker000_0142
127,speaker000_0017
128,speaker000_1453
129,speaker000_0168
130,speaker000_0252
131,speaker000_0834
132,speaker000_0671
133,speaker000_0862
134,speaker000_1197
135,speaker000_1009
136,speaker000_0822
137,speaker000_1355
138,speaker000_1279
139,speaker000_1034
140,speaker000_0539
141,speaker000_0678
142,speaker000_0324
143,speaker000_1158
144,speaker000_0585
145,speaker000_1260
146,speaker000_0368
147,speaker000_0177
148,speaker000_1192
149,speaker000_1409
150,speaker000_1398
151,speaker000_0567
152,speaker000_1020
153,speaker000_0362
154,speaker000_1308
155,speaker000_1164
156,speaker000_0477
157,speaker000_1283
158,speaker000_1369
159,speaker000_1177
160,speaker000_1199
161,speaker000_1276
162,speaker000_1250
163,speaker000_0995
164,speaker000_1474
165,speaker000_1121
166,speaker000_1344
167,speaker000_0571
168,speaker000_1027
169,speaker000_0032
170,speaker000_1012
171,speaker000_0056
172,speaker000_0002
173,speaker000_1405
174,speaker000_0126
175,speaker000_0508
176,speaker000_0519
177,speaker000_1444
178,speaker000_0340
179,speaker000_1056
180,speaker000_0734
181,speaker000_0896
182,speaker000_0676
183,speaker000_1284
184,speaker000_0606
185,speaker000_0617
186,speaker000_1415
187,speaker000_0496
188,speaker000_1264
189,speaker000_0921
190,speaker000_0282
191,speaker000_1442
192,speaker000_1313
193,speaker000_1171
194,speaker000_1293
195,speaker000_1378
196,speaker000_0155
197,speaker000_0038
198,speaker000_1206
199,speaker000_0670
200,speaker000_0428
201,speaker000_0114
202,speaker000_1289
203,speaker000_0983
204,speaker000_1466
205,speaker000_0808
206,speaker000_0166
207,speaker000_1431
208,speaker000_0157
209,speaker000_0643
210,speaker000_1103
211,speaker000_0220
212,speaker000_0053
213,speaker000_0199
214,speaker000_0726
215,speaker000_0414
216,speaker000_0869
217,speaker000_1222
218,speaker000_1341
219,speaker000_1214
220,speaker000_0865
221,speaker000_0087
222,speaker000_0898
223,speaker000_0361
224,speaker000_0742
225,speaker000_1017
226,speaker000_0738
227,speaker000_1030
228,speaker000_0833
229,speaker000_0198
230,speaker000_1251
231,speaker000_0654
232,speaker000_0499
233,speaker000_0084
234,speaker000_1349
235,speaker000_1507
236,speaker000_0536
237,speaker000_0538
238,speaker000_0164
239,speaker000_0288
240,speaker000_0242
241,speaker000_0188
242,speaker000_1147
243,speaker000_0394
244,speaker000_0382
245,speaker000_1381
246,speaker000_0535
247,speaker000_0366
248,speaker000_1087
249,speaker000_1053
250,speaker000_0526
251,speaker000_0337
252,speaker000_1522
253,speaker000_0379
254,speaker000_1067
255,speaker000_0124
256,speaker000_1002
257,speaker000_1095
258,speaker000_1112
259,speaker000_0884
260,speaker000_0418
261,speaker000_0714
262,speaker000_0345
263,speaker000_0976
264,speaker000_0506
265,speaker000_0866
266,speaker000_0818
267,speaker000_0022
268,speaker000_0553
269,speaker000_0775
270,speaker000_1422
271,speaker000_0826
272,speaker000_1317
273,speaker000_0748
274,speaker000_0990
275,speaker000_0730
276,speaker000_0517
277,speaker000_0427
278,speaker000_1181
279,speaker000_1036
280,speaker000_0956
281,speaker000_1519
282,speaker000_1168
283,speaker000_0607
284,speaker000_0591
285,speaker000_0633
286,speaker000_0014
287,speaker000_1274
288,speaker000_0144
289,speaker000_0005
290,speaker000_1236
291,speaker000_1450
292,speaker000_0230
293,speaker000_1462
294,speaker000_0589
295,speaker000_1467
296,speaker000_0620
297,speaker000_1263
298,speaker000_0565
299,speaker000_1261
300,speaker000_0117
301,speaker000_0544
302,speaker000_0931
303,speaker000_0934
304,speaker000_0657
305,speaker000_0649
306,speaker000_1266
307,speaker000_0627
308,speaker000_1149
309,speaker000_1004
310,speaker000_0590
311,speaker000_0513
312,speaker000_0364
313,speaker000_0810
314,speaker000_1018
315,speaker000_0776
316,speaker000_1120
317,speaker000_0489
318,speaker000_0683
319,speaker000_0462
320,speaker000_0440
321,speaker000_1003
322,speaker000_0888
323,speaker000_1309
324,speaker000_0868
325,speaker000_0903
326,speaker000_1338
327,speaker000_1280
328,speaker000_1219
329,speaker000_1184
330,speaker000_0250
331,speaker000_0436
332,speaker000_1406
333,speaker000_1460
334,speaker000_1411
335,speaker000_0352
336,speaker000_1502
337,speaker000_1225
338,speaker000_1490
339,speaker000_0615
340,speaker000_0279
341,speaker000_1064
342,speaker000_0905
343,speaker000_0482
344,speaker000_1217
345,speaker000_1436
346,speaker000_0358
347,speaker000_0046
348,speaker000_1176
349,speaker000_0386
350,speaker000_1213
351,speaker000_0940
352,speaker000_1165
353,speaker000_0120
354,speaker000_1410
355,speaker000_0498
356,speaker000_0332
357,speaker000_0702
358,speaker000_0961
359,speaker000_1268
360,speaker000_0564
361,speaker000_1146
362,speaker000_1099
363,speaker000_1076
364,speaker000_1412
365,speaker000_0724
366,speaker000_0460
367,speaker000_0273
368,speaker000_1328
369,speaker000_0794
370,speaker000_0788
371,speaker000_1039
372,speaker000_1488
373,speaker000_1079
374,speaker000_0346
375,speaker000_0735
376,speaker000_0924
377,speaker000_0044
378,speaker000_0802
379,speaker000_0743
380,speaker000_1215
381,speaker000_0255
382,speaker000_1464
383,speaker000_0675
384,speaker000_1290
385,speaker000_0426
386,speaker000_0592
387,speaker000_0642
388,speaker000_0509
389,speaker000_0930
390,speaker000_0011
391,speaker000_1506
392,speaker000_1179
393,speaker000_0098
394,speaker000_0609
395,speaker000_0488
396,speaker000_0041
397,speaker000_1013
398,speaker000_0261
399,speaker000_0058
400,speaker000_0666
401,speaker000_0637
402,speaker000_0912
403,speaker000_0645
404,speaker000_0971
405,speaker000_0068
406,speaker000_0811
407,speaker000_0256
408,speaker000_1397
409,speaker000_1212
410,speaker000_0264
411,speaker000_0217
412,speaker000_0887
413,speaker000_1100
414,speaker000_0874
415,speaker000_0480
416,speaker000_0580
417,speaker000_0798
418,speaker000_0913
419,speaker000_1256
420,speaker000_1094
421,speaker000_1351
422,speaker000_1282
423,speaker000_0577
424,speaker000_0244
425,speaker000_0007
426,speaker000_1452
427,speaker000_0146
428,speaker000_0150
429,speaker000_0969
430,speaker000_1167
431,speaker000_0551
432,speaker000_0970
433,speaker000_0557
434,speaker000_0437
435,speaker000_1311
436,speaker000_0130
437,speaker000_0900
438,speaker000_0800
439,speaker000_1395
440,speaker000_0411
441,speaker000_0926
442,speaker000_0758
443,speaker000_0819
444,speaker000_1285
445,speaker000_1085
446,speaker000_0001
447,speaker000_0354
448,speaker000_1043
449,speaker000_0214
450,speaker000_0191
451,speaker000_0421
452,speaker000_0682
453,speaker000_0347
454,speaker000_1193
455,speaker000_0587
456,speaker000_1001
457,speaker000_0860
458,speaker000_0486
459,speaker000_1428
460,speaker000_0468
461,speaker000_0093
462,speaker000_0203
463,speaker000_1394
464,speaker000_1047
465,speaker000_1202
466,speaker000_0908
467,speaker000_1407
468,speaker000_0992
469,speaker000_1174
470,speaker000_1029
471,speaker000_0910
472,speaker000_0581
473,speaker000_1226
474,speaker000_0937
475,speaker000_0967
476,speaker000_1348
477,speaker000_0668
478,speaker000_1323
479,speaker000_0412
480,speaker000_1269
481,speaker000_1320
482,speaker000_0728
483,speaker000_0679
484,speaker000_0311
485,speaker000_0385
486,speaker000_1477
487,speaker000_1223
488,speaker000_0463
489,speaker000_0828
490,speaker000_0853
491,speaker000_0555
492,speaker000_0447
493,speaker000_0448
494,speaker000_0993
495,speaker000_1127
496,speaker000_1404
497,speaker000_0764
498,speaker000_0809
499,speaker000_0716
500,speaker000_1098
501,speaker000_1366
502,speaker000_0677
503,speaker000_0725
504,speaker000_0215
505,speaker000_0849
506,speaker000_1139
507,speaker000_0192
508,speaker000_0312
509,speaker000_1153
510,speaker000_0136
511,speaker000_0419
512,speaker000_0330
513,speaker000_0711
514,speaker000_0920
515,speaker000_0145
516,speaker000_1207
517,speaker000_0701
518,speaker000_1439
519,speaker000_0813
520,speaker000_1131
521,speaker000_0685
522,speaker000_0299
523,speaker000_1196
524,speaker000_0397
525,speaker000_0588
526,speaker000_0265
527,speaker000_0534
528,speaker000_0476
529,speaker000_1307
530,speaker000_1390
531,speaker000_0604
532,speaker000_0885
533,speaker000_0129
534,speaker000_1141
535,speaker000_0016
536,speaker000_1325
537,speaker000_0638
538,speaker000_0466
539,speaker000_1516
540,speaker000_0415
541,speaker000_0189
542,speaker000_1472
543,speaker000_0932
544,speaker000_0918
545,speaker000_0137
546,speaker000_0755
547,speaker000_0020
548,speaker000_0659
549,speaker000_0049
550,speaker000_1408
551,speaker000_0786
552,speaker000_1045
553,speaker000_0159
554,speaker000_0886
555,speaker000_0060
556,speaker000_0576
557,speaker000_0817
558,speaker000_0999
559,speaker000_1253
560,speaker000_1362
561,speaker000_0846
562,speaker000_0235
563,speaker000_0507
564,speaker000_0558
565,speaker000_0363
566,speaker000_1061
567,speaker000_0278
568,speaker000_1175
569,speaker000_0754
570,speaker000_0958
571,speaker000_1133
572,speaker000_0511
573,speaker000_1380
574,speaker000_1022
575,speaker000_0985
576,speaker000_0314
577,speaker000_0792
578,speaker000_1006
579,speaker000_0262
580,speaker000_0228
