,sampleID,sourceID,startTime,duration
0,speaker041_0000,20H-20171219,00:07:05.955687,1.878375
1,speaker041_0001,20H-20171219,00:06:00.047437,8.3210625
2,speaker041_0002,20H-20171201,00:23:16.761749,6.05975
3,speaker041_0003,20H-20171219,00:06:39.594875,1.5370625
4,speaker041_0004,20H-20171219,00:06:47.008375,1.942375
5,speaker041_0005,20H-20171219,00:06:49.003062,4.246375
6,speaker041_0006,20H-20171219,00:06:53.082687,2.6250625
7,speaker041_0007,20H-20180206,00:39:20.661562,10.47575
8,speaker041_0008,20H-20171219,00:06:00.047437,4.0330625
9,speaker041_0009,20H-20171219,00:06:00.047437,6.166375
10,speaker041_0010,20H-20171219,00:06:04.144562,2.09175
11,speaker041_0011,20H-20171219,00:06:04.144562,1.32375
12,speaker041_0012,20H-20171219,00:06:00.047437,5.398375
13,speaker041_0013,20H-20171219,00:06:06.240000,2.134375
14,speaker041_0014,20H-20171219,00:06:07.040750,1.3450625
15,speaker041_0015,20H-20171201,00:23:16.761749,1.4090625
16,speaker041_0016,20H-20171201,00:23:16.761749,2.198375
17,speaker041_0017,20H-20171201,00:23:16.761749,3.9690625
18,speaker041_0018,20H-20171219,00:06:26.696000,1.3450625
19,speaker041_0019,20H-20171219,00:06:26.696000,3.43575
20,speaker041_0020,20H-20171219,00:06:28.164750,1.96375
21,speaker041_0021,20H-20171219,00:06:25.624937,4.502375
22,speaker041_0022,20H-20171219,00:06:47.438687,1.5370625
23,speaker041_0023,20H-20171219,00:06:51.654687,1.6010625
24,speaker041_0024,20H-20171219,00:06:50.175374,3.094375
25,speaker041_0025,20H-20171219,00:06:49.003062,2.28375
26,speaker041_0026,20H-20171219,00:06:53.082687,1.70775
27,speaker041_0027,20H-20171219,00:06:53.841124,1.878375
28,speaker041_0028,20H-20180206,00:39:20.661562,6.05975
29,speaker041_0029,20H-20180206,00:39:20.661562,1.0250625
30,speaker041_0030,20H-20180206,00:39:20.661562,4.0970625
31,speaker041_0031,20H-20171219,00:06:58.360062,3.094375
32,speaker041_0032,20H-20171219,00:06:58.360062,9.4730625
33,speaker041_0033,20H-20171219,00:06:58.360062,5.0570625
34,speaker041_0034,20H-20171219,00:07:01.455187,1.96375
35,speaker041_0035,20H-20171219,00:07:01.455187,6.358375
36,speaker041_0036,20H-20171219,00:07:03.439000,4.374375
37,speaker041_0037,20H-20171219,00:07:03.439000,2.4970625
38,speaker041_0038,20H-20171219,00:07:03.439000,3.414375
39,speaker041_0039,20H-20171219,00:07:06.811624,1.00375
40,speaker042_0000,20H-20180108,00:07:31.671687,1.00375
41,speaker042_0001,20H-20171219,00:28:04.580312,1.06775
42,speaker042_0002,20H-20171219,00:28:06.949437,9.750375
43,speaker042_0003,20H-20171219,00:28:17.498125,7.2970625
44,speaker042_0004,20H-20171219,00:28:24.837250,13.22775
45,speaker042_0005,20H-20171219,00:28:37.897124,8.470375
46,speaker042_0006,20H-20180108,00:05:51.984624,1.750375
47,speaker042_0007,20H-20180108,00:05:53.524999,9.814375
48,speaker042_0008,20H-20180108,00:06:51.858312,3.62775
49,speaker042_0009,20H-20180108,00:06:57.565125,4.438375
50,speaker042_0010,20H-20180108,00:07:02.373249,5.078375
51,speaker042_0011,20H-20180108,00:07:07.349187,1.686375
52,speaker042_0012,20H-20180108,00:07:10.160937,13.93175
53,speaker042_0013,20H-20180108,00:07:23.987187,5.1850625
54,speaker042_0014,20H-20180108,00:07:29.855687,2.8170625
55,speaker042_0015,20H-20171219,00:28:06.949437,2.02775
